factor,factor_iri,factor_label,cfde_disease
Left ventricular hypertrophy genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/24671cde4ab8cbf9cd14,Left ventricular hypertrophy genes (trait context: Rare hypertrophic cardiomyopathy),Rare hypertrophic cardiomyopathy
Leishmania and TLR-NFKB Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ea856a1bdc10549ea918,Leishmania and TLR-NFKB Signaling (trait context: Interstitial lung disease),Interstitial lung disease
Leishmania Infection and Neutrophil Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/73897660051f47f140a5,Leishmania Infection and Neutrophil Signaling (trait context: Interstitial lung disease),Interstitial lung disease
Leishmania-related T cell changes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4808f7959fc7a86c8ebf,Leishmania-related T cell changes (trait context: Systemic lupus erythematosus),Systemic lupus erythematosus
Leishmaniasis-Related Lung Inflammation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e707894a4f9ec1431083,Leishmaniasis-Related Lung Inflammation (trait context: Interstitial lung disease),Interstitial lung disease
Leptin Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9d81533d98cdbe94e586,Leptin Signaling (trait context: Type 2 diabetes with ophthalmic manifestations),Type 2 diabetes with ophthalmic manifestations
Leukemia and immune genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f9359987be6232a83528,Leukemia and immune genes (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
Leukemia and myeloid development genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9b45cb864e5171ee91c0,Leukemia and myeloid development genes (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
Leukemia incidence and hematopoiesis abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bf8bcef7a9b91125d0e7,Leukemia incidence and hematopoiesis abnormalities (trait context: Myeloproliferative neoplasm),Myeloproliferative neoplasm
Leukemia risk with myeloid hyperplasia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/386c4cfbafe775b2d80d,Leukemia risk with myeloid hyperplasia (trait context: Mastocytosis),Mastocytosis
Leukemia subtypes and B-cell markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/112be951717518c52929,Leukemia subtypes and B-cell markers (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
Leukemia types and mutations,https://purl.org/okn/frink/kg/digcfdekg/node/factor/68dd82925a58e966fdc8,Leukemia types and mutations (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
Leukocyte and myeloid abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/662f25c9b07b32e1e63d,Leukocyte and myeloid abnormalities (trait context: Acute myeloid leukemia),Acute myeloid leukemia
leukocyte and T cell differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2f16becdedff69e5a508,leukocyte and T cell differentiation (trait context: Multiple sclerosis),Multiple sclerosis
Limb and craniofacial development genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/23482cfbe550e123c444,Limb and craniofacial development genes (trait context: Carpal tunnel syndrome),Carpal tunnel syndrome
Limb and Hair Follicle Development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5055354b5884e6bde1c1,Limb and Hair Follicle Development (trait context: Breast cancer),Breast cancer
Limb and heart development signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0fbf6264907c11fd48a1,Limb and heart development signaling (trait context: Chronic obstructive pulmonary disease (COPD)),Chronic obstructive pulmonary disease (COPD)
Limb and jaw cartilage defects,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1c8932c062200e6895e5,Limb and jaw cartilage defects (trait context: Oligodontia),Oligodontia
Limb and Muscle Development Genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/78612a0283de137f3330,Limb and Muscle Development Genes (trait context: Polycystic ovary syndrome (PCOS)),Polycystic ovary syndrome (PCOS)
Limb and palate development abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/72186f319fb87436a6f0,Limb and palate development abnormalities (trait context: chronic obstructive pulmonary disease),chronic obstructive pulmonary disease
Limb bone development genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/41b846925bec8930f9c3,Limb bone development genes (trait context: Any cancer (heterodominant model)),Any cancer (heterodominant model)
Limb development and patterning,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f932abce0529b0477837,Limb development and patterning (trait context: Hyperaldosteronism),Hyperaldosteronism
Limb morphology and mineralization,https://purl.org/okn/frink/kg/digcfdekg/node/factor/50f356ec24ca4e8383c6,Limb morphology and mineralization (trait context: Carpal tunnel syndrome),Carpal tunnel syndrome
Lipid homeostasis and storage,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f18b062e7d18c8a86602,Lipid homeostasis and storage (trait context: Type 2 diabetes (T2D) adj BMI),Type 2 diabetes (T2D) adj BMI
Lipid Metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cf1e58cb6a131b88229e,Lipid Metabolism (trait context: Chronic primary adrenal insufficiency),Chronic primary adrenal insufficiency
Lipid metabolism and adiposity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1220ff87c7f0d44dc381,Lipid metabolism and adiposity (trait context: Type 2 diabetes with neurological manifestations),Type 2 diabetes with neurological manifestations
Lipid Metabolism and Cholesterol Dysregulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d2c944082e52f808519a,Lipid Metabolism and Cholesterol Dysregulation (trait context: Disorder of lipid metabolism),Disorder of lipid metabolism
Lipodystrophy and adipose loss,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f02968c3776103929aa9,Lipodystrophy and adipose loss (trait context: Type 2 diabetes with neurological manifestations),Type 2 diabetes with neurological manifestations
Lipoprotein Metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0bbfe48a0bf16d5dd1a5,Lipoprotein Metabolism (trait context: multiple sclerosis),multiple sclerosis
Lipoprotein Metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/12bfc36059af20e787e3,Lipoprotein Metabolism (trait context: Primary biliary cholangitis),Primary biliary cholangitis
Lipoprotein Metabolism Pathway,https://purl.org/okn/frink/kg/digcfdekg/node/factor/33aa7f65dda772af6325,Lipoprotein Metabolism Pathway (trait context: Disorder of lipid metabolism),Disorder of lipid metabolism
Liver and developmental genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e993be077a933cf6a628,Liver and developmental genes (trait context: Type 2 diabetes with renal manifestations),Type 2 diabetes with renal manifestations
Liver and heart ventricle morphology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/12505b4835be71c33e92,Liver and heart ventricle morphology (trait context: Dilated cardiomyopathy),Dilated cardiomyopathy
Liver cancer and stem cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a64fe3c1df38f8ed45f2,Liver cancer and stem cells (trait context: Rare aplastic anemia),Rare aplastic anemia
Liver changes and triglycerides,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ea54648525104035492c,Liver changes and triglycerides (trait context: Type 2 diabetes (T2D) adj BMI),Type 2 diabetes (T2D) adj BMI
Liver enlargement and hematopoiesis abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e7023ac074e67320cca1,Liver enlargement and hematopoiesis abnormalities (trait context: Diabetic retinopathy),Diabetic retinopathy
Liver enlargement and leukemia risk,https://purl.org/okn/frink/kg/digcfdekg/node/factor/df7b04006f851b40affe,Liver enlargement and leukemia risk (trait context: Type 2 diabetes (T2D)),Type 2 diabetes (T2D)
Liver enlargement and morphology changes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2f59764717f81a856655,Liver enlargement and morphology changes (trait context: Type 2 diabetes with neurological manifestations),Type 2 diabetes with neurological manifestations
Liver enlargement and steatosis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1538a9d857c6f7ea83e3,Liver enlargement and steatosis (trait context: Type 2 diabetes (T2D)),Type 2 diabetes (T2D)
Liver lipid overload and growth,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c595d39af7a0361e609c,Liver lipid overload and growth (trait context: Type 2 diabetes (with history of pregnancy)),Type 2 diabetes (with history of pregnancy)
Liver pathology and signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3ceb57c690ac9e89de3c,Liver pathology and signaling (trait context: type 2 diabetes mellitus),type 2 diabetes mellitus
Liver X Receptor and SREBP,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c82091972ddc6d624bd8,Liver X Receptor and SREBP (trait context: Disorder of lipid metabolism),Disorder of lipid metabolism
Low glycogen and lipid homeostasis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3cbf6cba6415b097e6fb,Low glycogen and lipid homeostasis (trait context: Type 2 diabetes (with history of pregnancy)),Type 2 diabetes (with history of pregnancy)
Low insulin and development genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3f6395f14b66deb75417,Low insulin and development genes (trait context: Type 2 diabetes with renal manifestations),Type 2 diabetes with renal manifestations
Lung and Cardiac Morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4e859f6e6c61f565efc4,Lung and Cardiac Morphogenesis (trait context: Breast cancer),Breast cancer
Lung and thyroid immune genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9e670700054b8540a6a9,Lung and thyroid immune genes (trait context: multiple sclerosis),multiple sclerosis
Lung and thyroid immune signals,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e5f0607b1ec4b84fd960,Lung and thyroid immune signals (trait context: multiple sclerosis),multiple sclerosis
Lung branching morphogenesis and signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/da6b9fd65703b33703d0,Lung branching morphogenesis and signaling (trait context: chronic obstructive pulmonary disease),chronic obstructive pulmonary disease
Lung club cells and kidney,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e40c4f189f133ffd7e5a,Lung club cells and kidney (trait context: Rare aplastic anemia),Rare aplastic anemia
Lung Development and Morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8327ab9d7ec8c13addbe,Lung Development and Morphogenesis (trait context: Breast cancer),Breast cancer
Lung development and morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f375ae24b00c271a09e3,Lung development and morphogenesis (trait context: Type 1 diabetes with renal manifestations),Type 1 diabetes with renal manifestations
Lung Fibrosis and Bacterial Susceptibility,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4325e22ab0551faad34c,Lung Fibrosis and Bacterial Susceptibility (trait context: Interstitial lung disease),Interstitial lung disease
Lung Fibrosis and Inflammation Markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/79ea05d627d3b7f56422,Lung Fibrosis and Inflammation Markers (trait context: COVID-19),COVID-19
Lung Fibrosis Telomere Maintenance,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8a3aad0d1de6649b6967,Lung Fibrosis Telomere Maintenance (trait context: Interstitial lung disease),Interstitial lung disease
Lung Inflammation and COVID Pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3c11f1d82c13916d2c58,Lung Inflammation and COVID Pathways (trait context: Interstitial lung disease),Interstitial lung disease
Lung inflammation and innate signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/404d0ec4cdb4416c41df,Lung inflammation and innate signaling (trait context: psoriasis),psoriasis
Lung Inflammation and T Cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8c2ed08d5705ab379aad,Lung Inflammation and T Cells (trait context: Interstitial lung disease),Interstitial lung disease
Lung Trachea and Mesenchymal Proliferation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/25207dcad5133b9b50bd,Lung Trachea and Mesenchymal Proliferation (trait context: colorectal cancer),colorectal cancer
Lymphocyte and T cell differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d957d54e5e359203618c,Lymphocyte and T cell differentiation (trait context: Childhood-onset asthma),Childhood-onset asthma
Lymphocyte differentiation and activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/68dfd255a26d2fcd7db1,Lymphocyte differentiation and activation (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
Lymphocyte Expression Program,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d7a039ba2ffa00d08539,Lymphocyte Expression Program (trait context: Behet disease),Behet disease
Lymphocyte Expression Program,https://purl.org/okn/frink/kg/digcfdekg/node/factor/66a25a5b3ce151ee68cb,Lymphocyte Expression Program (trait context: Juvenile idiopathic arthritis),Juvenile idiopathic arthritis
Lymphocyte Expression Program,https://purl.org/okn/frink/kg/digcfdekg/node/factor/65bbc399f55feaf4e162,Lymphocyte Expression Program (trait context: psoriasis vulgaris),psoriasis vulgaris
Lymphocyte Expression Program Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/71447d59eb1d80e80357,Lymphocyte Expression Program Signaling (trait context: multiple sclerosis),multiple sclerosis
Lymphoid and T cell markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6c0d58b7393c288d3f2d,Lymphoid and T cell markers (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
Lymphoid hyperplasia and B/T changes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3eb4e6c055a1282271fc,Lymphoid hyperplasia and B/T changes (trait context: type 1 diabetes mellitus),type 1 diabetes mellitus
Lymphoid Morphology and T Cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2419b4ee2132ef834596,Lymphoid Morphology and T Cells (trait context: childhood onset asthma),childhood onset asthma
Lymphoid organ hyperplasia and IgA,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a3c78b9e8e770d229b2c,Lymphoid organ hyperplasia and IgA (trait context: Lymphoma),Lymphoma
Lymphoid T-cell Signaling and ILs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/393a4964053e71504d36,Lymphoid T-cell Signaling and ILs (trait context: Juvenile idiopathic arthritis),Juvenile idiopathic arthritis
Lymphoid tissue and B cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2a44dee5aa3f8465fc37,Lymphoid tissue and B cells (trait context: multiple sclerosis),multiple sclerosis
Lymphoid tissue morphology and cytokines,https://purl.org/okn/frink/kg/digcfdekg/node/factor/536eee6525cc6b47fc5a,Lymphoid tissue morphology and cytokines (trait context: Childhood-onset asthma),Childhood-onset asthma
Lysosomal Cholesterol Traffic,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8be521efa712f262f99f,Lysosomal Cholesterol Traffic (trait context: Lysosomal disease),Lysosomal disease
